Date/Time,Word Count,en,es-419,pt-BR
2020.12.10-23.03.42,104,104,0,0
2020.12.10-23.12.26,80,80,0,0
2020.12.10-23.13.18,79,79,0,0
2020.12.10-23.14.42,82,82,0,0
2020.12.10-23.16.06,84,84,0,3
2020.12.10-23.24.37,77,77,0,5
2020.12.10-23.28.11,76,76,0,12
2020.12.10-23.32.32,76,76,0,16
2020.12.10-23.33.33,76,76,0,19
2020.12.10-23.57.26,76,76,0,21
2020.12.10-23.59.58,68,68,0,21
2020.12.11-00.01.28,67,67,0,21
2020.12.11-23.02.29,68,68,0,21
2020.12.11-23.03.08,68,68,0,22
2020.12.12-14.09.01,80,80,0,22
2020.12.12-14.10.15,80,80,0,34
2020.12.12-15.59.40,82,82,0,33
2020.12.12-16.17.10,82,82,0,35
2020.12.12-16.18.52,165,165,0,35
2020.12.12-16.19.55,165,165,0,37
2020.12.12-16.22.53,165,165,0,71
2020.12.12-16.27.50,165,165,0,81
2020.12.12-16.32.05,166,166,0,73
2020.12.12-16.33.49,166,166,0,84
2020.12.12-16.56.09,165,165,0,84
2021.04.22-23.00.44,165,165,17,84
2021.04.22-23.26.59,165,165,18,84
